time,Wind Direction (Degs),Wind Speed (M/Sec),Lat,Long
13:57:30,265.9,16,37.8119103,-122.453792
13:57:31,265.6,16,37.811923,-122.4537172
13:57:32,265.4,16,37.8119327,-122.453642
13:57:33,265.2,16,37.8119425,-122.4535676
13:57:34,265,16.1,37.811953,-122.4534937
13:57:35,264.8,16.1,37.8119642,-122.45342
13:57:36,264.6,16.2,37.8119731,-122.453345
13:57:37,264.4,16.3,37.8119847,-122.453268
13:57:38,264.3,16.4,37.8120026,-122.4531917
13:57:39,264.1,16.5,37.8120285,-122.4531198
13:57:40,264,16.6,37.8120646,-122.4530521
13:57:41,263.9,16.7,37.8121067,-122.4529998
13:57:42,263.9,16.8,37.8121543,-122.4529565
13:57:43,263.8,16.8,37.8122026,-122.4529293
13:57:44,263.8,16.9,37.8122573,-122.4529116
13:57:45,263.7,17,37.8123134,-122.452908
13:57:46,263.7,17.1,37.8123637,-122.4529199
13:57:47,263.7,17.1,37.8124041,-122.4529426
13:57:48,263.6,17.2,37.8124393,-122.4529746
13:57:49,263.6,17.2,37.8124673,-122.4530071
13:57:50,263.5,17.3,37.8124913,-122.4530423
13:57:51,263.4,17.3,37.8125102,-122.4530783
13:57:52,263.4,17.3,37.8125256,-122.4531097
13:57:53,263.3,17.3,37.8125428,-122.4531456
13:57:54,263.3,17.3,37.8125587,-122.4531781
13:57:55,263.2,17.3,37.8125776,-122.4532123
13:57:56,263.1,17.3,37.8125955,-122.4532451
13:57:57,263.1,17.3,37.8126122,-122.4532772
13:57:58,263,17.3,37.812628,-122.4533097
13:57:59,263,17.3,37.8126413,-122.4533385
13:58:00,262.9,17.3,37.8126558,-122.4533672
13:58:01,262.8,17.3,37.8126737,-122.4534004
13:58:02,262.8,17.3,37.8126948,-122.453434
13:58:03,262.7,17.3,37.8127208,-122.4534708
13:58:04,262.7,17.2,37.8127508,-122.4535089
13:58:05,262.6,17.2,37.8127841,-122.4535521
13:58:06,262.6,17.2,37.8128156,-122.4535943
13:58:07,262.5,17.2,37.8128454,-122.4536396
13:58:08,262.5,17.2,37.8128692,-122.4536825
13:58:09,262.4,17.2,37.8128919,-122.4537268
13:58:10,262.4,17.2,37.8129143,-122.4537692
13:58:11,262.4,17.2,37.8129379,-122.4538112
13:58:12,262.4,17.2,37.812962,-122.4538552
13:58:13,262.4,17.2,37.812985,-122.4538975
13:58:14,262.3,17.2,37.8130095,-122.4539398
13:58:15,262.3,17.2,37.8130365,-122.4539836
13:58:16,262.3,17.3,37.813065,-122.4540294
13:58:17,262.3,17.3,37.8130941,-122.4540726
13:58:18,262.3,17.3,37.8131266,-122.4541178
13:58:19,262.2,17.4,37.8131613,-122.4541654
13:58:20,262.2,17.4,37.8131961,-122.4542141
13:58:21,262.2,17.5,37.8132289,-122.4542599
13:58:22,262.1,17.5,37.8132623,-122.4543096
13:58:23,262.1,17.6,37.8132952,-122.4543615
13:58:24,262,17.6,37.8133266,-122.454412
13:58:25,262,17.7,37.8133567,-122.4544636
13:58:26,262,17.7,37.8133826,-122.4545179
13:58:27,261.9,17.8,37.8134091,-122.454571
13:58:28,261.9,17.8,37.8134417,-122.454623
13:58:29,261.9,17.9,37.8134817,-122.4546745
13:58:30,261.9,17.9,37.8135263,-122.4547327
13:58:31,261.9,17.9,37.8135792,-122.4547947
13:58:32,261.9,18,37.813646,-122.454855
13:58:33,261.9,18,37.8137308,-122.4549087
13:58:34,262,18.1,37.8138293,-122.4549583
13:58:35,262.1,18.1,37.8139428,-122.4550021
13:58:36,262.2,18.1,37.8140695,-122.4550411
13:58:37,262.3,18.2,37.8142095,-122.4550698
13:58:38,262.4,18.2,37.814362,-122.4550794
13:58:39,262.6,18.2,37.8145244,-122.4550769
13:58:40,262.7,18.2,37.8146932,-122.4550689
13:58:41,262.9,18.2,37.8148661,-122.4550599
13:58:42,263,18.2,37.8150434,-122.455052
13:58:43,263.1,18.2,37.8152201,-122.4550583
13:58:44,263.2,18.2,37.815397,-122.4550821
13:58:45,263.3,18.2,37.8155723,-122.4551161
13:58:46,263.3,18.2,37.8157428,-122.4551549
13:58:47,263.3,18.1,37.8159124,-122.4551839
13:58:48,263.3,18.1,37.8160824,-122.4552066
13:58:49,263.3,18,37.8162498,-122.4552293
13:58:50,263.2,18,37.8164161,-122.4552525
13:58:51,263.1,18,37.8165826,-122.4552806
13:58:52,262.9,17.9,37.8167547,-122.4552998
