time,Wind Direction (Degs),Wind Speed (M/Sec),Lat,Long
13:57:30,265.9,16,37.8228547,-122.4562292
13:57:31,265.7,16,37.8228687,-122.4562473
13:57:32,265.5,16,37.8228844,-122.4562641
13:57:33,265.2,16,37.8229011,-122.4562804
13:57:34,265,16.1,37.8229177,-122.4562996
13:57:35,264.8,16.1,37.8229337,-122.4563176
13:57:36,264.6,16.2,37.8229492,-122.4563402
13:57:37,264.4,16.3,37.8229647,-122.4563611
13:57:38,264.3,16.4,37.8229815,-122.4563808
13:57:39,264.1,16.5,37.8229991,-122.456402
13:57:40,264,16.5,37.8230164,-122.4564236
13:57:41,263.9,16.7,37.8230346,-122.4564451
13:57:42,263.9,16.7,37.8230518,-122.4564686
13:57:43,263.8,16.8,37.8230682,-122.4564911
13:57:44,263.8,16.9,37.8230844,-122.456515
13:57:45,263.7,17,37.8230997,-122.4565393
13:57:46,263.7,17.1,37.8231147,-122.4565601
13:57:47,263.7,17.1,37.8231314,-122.4565855
13:57:48,263.6,17.2,37.8231485,-122.4566106
13:57:49,263.6,17.2,37.8231655,-122.4566359
13:57:50,263.5,17.2,37.8231834,-122.4566644
13:57:51,263.4,17.3,37.8231984,-122.4566923
13:57:52,263.4,17.3,37.8232133,-122.4567181
13:57:53,263.3,17.3,37.8232269,-122.4567441
13:57:54,263.3,17.3,37.8232387,-122.4567707
13:57:55,263.2,17.3,37.8232498,-122.4567955
13:57:56,263.1,17.3,37.8232618,-122.4568223
13:57:57,263.1,17.3,37.8232752,-122.4568514
13:57:58,263,17.3,37.8232914,-122.4568788
13:57:59,263,17.3,37.8233143,-122.4569073
13:58:00,262.9,17.3,37.8233424,-122.4569315
13:58:01,262.9,17.3,37.8233753,-122.456957
13:58:02,262.8,17.3,37.8234067,-122.4569809
13:58:03,262.7,17.3,37.823433,-122.4570029
13:58:04,262.7,17.2,37.8234545,-122.4570238
13:58:05,262.6,17.2,37.8234706,-122.457042
13:58:06,262.6,17.2,37.8234819,-122.4570559
13:58:07,262.5,17.2,37.8234878,-122.4570707
13:58:08,262.5,17.2,37.8234874,-122.457085
13:58:09,262.4,17.2,37.8234845,-122.4570987
13:58:10,262.4,17.2,37.8234784,-122.4571106
13:58:11,262.4,17.2,37.8234701,-122.4571236
13:58:12,262.4,17.2,37.8234613,-122.4571405
13:58:13,262.4,17.2,37.8234497,-122.4571659
13:58:14,262.3,17.2,37.8234377,-122.4571927
13:58:15,262.3,17.2,37.8234209,-122.4572191
13:58:16,262.3,17.3,37.8234009,-122.4572536
13:58:17,262.3,17.3,37.8233848,-122.4572865
13:58:18,262.3,17.3,37.8233723,-122.4573205
13:58:19,262.2,17.4,37.823364,-122.4573554
13:58:20,262.2,17.4,37.8233584,-122.4573907
13:58:21,262.2,17.5,37.8233512,-122.4574248
13:58:22,262.1,17.5,37.8233423,-122.4574552
13:58:23,262.1,17.6,37.8233295,-122.457487
13:58:24,262,17.6,37.8233169,-122.4575199
13:58:25,262,17.7,37.8233021,-122.4575538
13:58:26,262,17.7,37.8232859,-122.457592
13:58:27,261.9,17.8,37.8232722,-122.4576238
13:58:28,261.9,17.8,37.8232559,-122.4576625
13:58:29,261.9,17.9,37.823239,-122.4577014
13:58:30,261.9,17.9,37.8232197,-122.4577409
13:58:31,261.9,17.9,37.8231992,-122.4577826
13:58:32,261.9,18,37.8231758,-122.4578263
13:58:33,261.9,18,37.8231502,-122.45787
13:58:34,262,18.1,37.8231229,-122.4579198
13:58:35,262.1,18.1,37.8230912,-122.4579688
13:58:36,262.2,18.1,37.8230529,-122.4580227
13:58:37,262.3,18.2,37.8230116,-122.4580776
13:58:38,262.4,18.2,37.8229691,-122.4581338
13:58:39,262.6,18.2,37.8229295,-122.4581889
13:58:40,262.7,18.2,37.8228915,-122.4582457
13:58:41,262.9,18.2,37.8228533,-122.4583
13:58:42,263,18.2,37.8228112,-122.4583515
13:58:43,263.1,18.2,37.8227684,-122.4584057
13:58:44,263.2,18.2,37.8227208,-122.4584614
13:58:45,263.3,18.2,37.8226669,-122.4585164
13:58:46,263.3,18.2,37.8226069,-122.4585738
13:58:47,263.3,18.1,37.8225355,-122.4586257
13:58:48,263.3,18.1,37.8224496,-122.4586719
13:58:49,263.3,18,37.82235,-122.4587032
13:58:50,263.2,18,37.8222372,-122.4587122
13:58:51,263.1,18,37.8221152,-122.45869
13:58:52,263,17.9,37.8219904,-122.4586338
13:58:53,262.8,17.9,37.8218671,-122.4585573
13:58:54,262.7,17.9,37.8217416,-122.4584802
13:58:55,262.6,17.8,37.8216166,-122.4583924
13:58:56,262.4,17.8,37.821487,-122.4583053
13:58:57,262.3,17.8,37.8213575,-122.45821
13:58:58,262.3,17.8,37.8212271,-122.4581096
13:58:59,262.2,17.8,37.821098,-122.4580016
13:59:00,262.2,17.8,37.8209719,-122.4578869
13:59:01,262.2,17.8,37.8208436,-122.4577712
13:59:02,262.2,17.8,37.8207129,-122.4576532
13:59:03,262.2,17.8,37.8205803,-122.4575351
13:59:04,262.3,17.8,37.8204493,-122.4574087
13:59:05,262.4,17.8,37.8203156,-122.4572808
13:59:06,262.4,17.7,37.8201839,-122.4571431
13:59:07,262.5,17.7,37.8200634,-122.4569866
13:59:08,262.5,17.6,37.8199508,-122.4568199
13:59:09,262.6,17.5,37.8198434,-122.4566495
13:59:10,262.7,17.5,37.8197293,-122.4564844
13:59:11,262.7,17.4,37.8196105,-122.456324
13:59:12,262.8,17.3,37.8194907,-122.4561655
13:59:13,262.9,17.2,37.8193851,-122.4559966
13:59:14,262.9,17.2,37.8193031,-122.4558119
13:59:15,263,17.1,37.8192394,-122.455617
13:59:16,263.1,17,37.8191962,-122.4554178
13:59:17,263.2,17,37.8191711,-122.455222
13:59:18,263.4,16.9,37.8191662,-122.4550368
13:59:19,263.5,16.8,37.8191789,-122.4548599
13:59:20,263.7,16.8,37.8192089,-122.4546941
13:59:21,263.9,16.7,37.8192527,-122.4545394
13:59:22,264,16.7,37.8193125,-122.4543963
13:59:23,264.2,16.6,37.8193911,-122.4542713
13:59:24,264.3,16.6,37.8194787,-122.4541541
13:59:25,264.5,16.6,37.8195646,-122.4540271
13:59:26,264.6,16.5,37.8196492,-122.4538923
13:59:27,264.7,16.5,37.8197301,-122.4537521
13:59:28,264.8,16.4,37.8198098,-122.4536109
13:59:29,264.9,16.4,37.8198945,-122.4534755
13:59:30,265,16.4,37.8199817,-122.4533416
13:59:31,265,16.4,37.8200678,-122.4532025
13:59:32,265,16.3,37.8201494,-122.4530561
13:59:33,264.9,16.3,37.8202328,-122.4529099
13:59:34,264.9,16.3,37.8203162,-122.4527645
13:59:35,264.9,16.3,37.8203965,-122.4526157
13:59:36,264.8,16.2,37.8204731,-122.4524631
13:59:37,264.8,16.2,37.8205488,-122.4523083
13:59:38,264.8,16.3,37.8206287,-122.4521551
13:59:39,264.7,16.3,37.8207048,-122.4519976
13:59:40,264.7,16.3,37.8207832,-122.4518395
13:59:41,264.8,16.4,37.8208556,-122.4516749
13:59:42,264.8,16.4,37.8209183,-122.4515024
13:59:43,264.9,16.5,37.8209848,-122.4513317
13:59:44,264.9,16.5,37.8210616,-122.4511706
13:59:45,265,16.6,37.821149,-122.4510215
13:59:46,265.1,16.6,37.8212496,-122.450886
13:59:47,265.1,16.7,37.8213615,-122.4507659
13:59:48,265.2,16.7,37.8214891,-122.450677
13:59:49,265.3,16.8,37.8216256,-122.4506288
13:59:50,265.3,16.8,37.8217579,-122.4506165
13:59:51,265.3,16.9,37.8218804,-122.4506365
13:59:52,265.3,16.9,37.8219862,-122.4506885
13:59:53,265.3,16.9,37.8220701,-122.4507602
13:59:54,265.3,16.9,37.8221301,-122.4508393
13:59:55,265.3,16.9,37.8221648,-122.4509146
13:59:56,265.3,17,37.8221836,-122.4509838
13:59:57,265.3,17,37.8221885,-122.4510446
13:59:58,265.3,17,37.8221801,-122.4510997
13:59:59,265.3,17,37.8221603,-122.4511512
14:00:00,265.3,17,37.8221318,-122.4512043
14:00:01,265.3,16.9,37.8220972,-122.451254
14:00:02,265.3,16.9,37.8220536,-122.451303
14:00:03,265.4,16.9,37.8220064,-122.4513544
14:00:04,265.4,16.9,37.8219606,-122.4514071
14:00:05,265.4,16.8,37.8219157,-122.4514625
14:00:06,265.4,16.8,37.8218708,-122.4515196
14:00:07,265.4,16.7,37.8218304,-122.4515785
14:00:08,265.5,16.7,37.821792,-122.4516407
14:00:09,265.5,16.6,37.821753,-122.451702
14:00:10,265.5,16.6,37.8217132,-122.451764
14:00:11,265.5,16.5,37.8216771,-122.4518305
14:00:12,265.6,16.5,37.821637,-122.4518947
14:00:13,265.6,16.5,37.8215867,-122.4519597
14:00:14,265.6,16.4,37.8215251,-122.4520214
14:00:15,265.7,16.4,37.8214492,-122.4520736
14:00:16,265.7,16.4,37.8213578,-122.4521102
14:00:17,265.7,16.4,37.8212532,-122.4521246
14:00:18,265.8,16.4,37.8211425,-122.4521088
14:00:19,265.8,16.4,37.8210357,-122.4520574
14:00:20,265.9,16.4,37.820945,-122.4519652
14:00:21,265.9,16.4,37.8208669,-122.4518546
14:00:22,265.9,16.4,37.8207896,-122.451742
14:00:23,265.9,16.4,37.8207093,-122.4516319
14:00:24,265.9,16.4,37.8206223,-122.4515267
14:00:25,265.9,16.4,37.8205341,-122.451419
14:00:26,265.8,16.5,37.8204464,-122.4513031
14:00:27,265.7,16.5,37.8203452,-122.4512052
14:00:28,265.6,16.4,37.8202356,-122.4511566
14:00:29,265.5,16.4,37.8201317,-122.4511582
14:00:30,265.4,16.4,37.8200358,-122.4511915
14:00:31,265.3,16.4,37.8199434,-122.4512408
14:00:32,265.1,16.4,37.8198513,-122.4512947
14:00:33,264.9,16.3,37.8197593,-122.4513516
14:00:34,264.8,16.3,37.819668,-122.4514118
14:00:35,264.6,16.2,37.8195777,-122.4514749
14:00:36,264.4,16.2,37.8194908,-122.4515421
14:00:37,264.3,16.2,37.8194082,-122.4516167
14:00:38,264.1,16.1,37.8193306,-122.4516934
14:00:39,264,16.1,37.8192603,-122.4517747
14:00:40,264,16.1,37.8191932,-122.4518577
14:00:41,264,16,37.8191339,-122.451946
14:00:42,264,16,37.8190786,-122.4520356
14:00:43,264,16,37.8190235,-122.4521241
14:00:44,264.1,16.1,37.8189655,-122.4522121
14:00:45,264.3,16.1,37.8188989,-122.4522934
14:00:46,264.4,16.1,37.8188362,-122.4523773
14:00:47,264.6,16.1,37.8187775,-122.4524655
