Height (m),Time (s),Pressure (millibars),Air Temperature (DegC),Dewpoint(DegC),Water density (g/cm),Humidity (%),Wind speed (m/s),Wind direction (Degr),Approximate Atmospheric Layer
227,-33,985.1,11.2,10,9.31,92,4.6,182.4,Troposphere
228,10.2,985,11.2,10,9.3,91.9,4.6,182.7,Troposphere
271,18.4,980,11.8,9.4,9.01,85.7,7.7,193.7,Troposphere
313,26.2,975,11.7,9.5,9.07,86.8,8.4,197.1,Troposphere
356,34.4,970,11.5,9.7,9.16,88.8,9.6,197.1,Troposphere
400,42.9,965,11.4,9.8,9.23,90,12,196,Troposphere
443,51,960,11.3,9.9,9.32,91.5,15.3,197.1,Troposphere
487,59.4,955,11.4,10.2,9.47,92.4,20.4,199.8,Troposphere
531,68.8,950,11.7,10.5,9.64,92.3,22.2,202.2,Troposphere
575,77.6,945,11.9,10.7,9.74,92.1,22.7,205.7,Troposphere
620,86.4,940,12,10.7,9.79,92,22.9,210,Troposphere
664,95.2,935,11.9,10.7,9.75,92.2,23.9,214.3,Troposphere
709,104,930,11.9,10.7,9.77,92.4,25,218.3,Troposphere
754,112.8,925,11.9,10.6,9.73,92,26,221.2,Troposphere
800,121.6,920,11.9,10.4,9.54,90.2,27.4,221.4,Troposphere
846,130.7,915,12,10,9.34,87.7,28.2,222.3,Troposphere
892,140.2,910,12,9.6,9.06,85.1,28.3,224.1,Troposphere
938,149.5,905,12,9.1,8.8,82.7,28.9,225.2,Troposphere
984,159.4,900,11.9,8.9,8.66,81.9,28.2,228,Troposphere
1031,170.2,895,11.7,8.6,8.53,81.7,27.8,230.5,Troposphere
1078,180.1,890,11.5,8.4,8.41,81.5,26.7,232.2,Troposphere
1125,189.7,885,11.3,7.9,8.11,79.6,26.1,236,Troposphere
1172,199.2,880,11.4,6.2,7.2,70.2,25.8,239.7,Troposphere
1220,208.7,875,11.7,3.9,6.14,58.8,25.3,240.6,Troposphere
1268,218.4,870,12,1.7,5.25,49.3,23.9,242.3,Troposphere
1316,228.3,865,12,0,4.63,43.5,21.6,248.1,Troposphere
1365,237.7,860,12,-1.9,4.02,37.8,20,251.7,Troposphere
1414,247.4,855,12.1,-4.1,3.44,32.1,19.2,253.2,Troposphere
1463,258.4,850,12.1,-5.3,3.14,29.3,19.1,253.1,Troposphere
1512,269.5,845,11.8,-5.5,3.09,29.4,18.8,249.7,Troposphere
1562,278.9,840,11.4,-5.5,3.08,30,17.9,246.3,Troposphere
1611,288.4,835,11,-5.7,3.05,30.5,17,248.6,Troposphere
1661,299.2,830,10.5,-5.8,3.01,31.1,16.7,250.7,Troposphere
1712,309.3,825,10.1,-6,2.98,31.6,16.5,251.6,Troposphere
1762,318.8,820,9.7,-6.2,2.95,32,15.9,256,Troposphere
1813,329.8,815,9.3,-6.5,2.87,32,15.4,255.8,Troposphere
1864,342.9,810,9.2,-6.8,2.84,31.8,14.6,258.7,Troposphere
1915,354.3,805,9,-7.1,2.76,31.3,14.3,259.4,Troposphere
1967,365,800,8.8,-7.9,2.62,30.1,14.4,257.8,Troposphere
2018,377.6,795,8.6,-9.2,2.35,27.4,14.4,255.8,Troposphere
2070,390.9,790,8.9,-11.5,1.96,22.4,14.1,251.9,Troposphere
2123,404.1,785,9.2,-13.9,1.61,18,13.7,250.2,Troposphere
2176,417.2,780,9.2,-15.3,1.44,16.1,13.8,248.7,Troposphere
2229,430.8,775,9.2,-16.2,1.34,15,13,241,Troposphere
2283,444,770,9.1,-16.9,1.26,14.2,13.8,244.1,Troposphere
2336,457.1,765,8.9,-17.5,1.19,13.6,15,248.1,Troposphere
2391,470,760,8.9,-18.5,1.1,12.6,15,249.3,Troposphere
2445,482.5,755,8.9,-19.5,1,11.4,16.5,255.1,Troposphere
2500,496.2,750,9,-20.8,0.9,10.2,16.8,256.9,Troposphere
2555,510.6,745,9.1,-21,0.89,10,18.2,259.8,Troposphere
2611,523.3,740,8.9,-21.1,0.87,10,17.1,259.5,Troposphere
2667,534.6,735,8.6,-21.4,0.86,10,16.1,261.3,Troposphere
2723,546.2,730,8.2,-21.7,0.84,10,14.9,264.8,Troposphere
2780,557.7,725,7.7,-22,0.81,10,13.6,267.7,Troposphere
2837,569.9,720,7.3,-23.1,0.74,9.4,12.5,270.1,Troposphere
2894,584.4,715,7.2,-24.6,0.65,8.3,11.6,267.3,Troposphere
2951,599.3,710,7,-25.9,0.57,7.4,11.8,262.7,Troposphere
3009,614.7,705,6.8,-27,0.53,6.9,11.6,257.7,Troposphere
3068,628.3,700,6.5,-27.1,0.52,6.9,10.8,257.4,Troposphere
3126,641.8,695,6.1,-25.4,0.61,8.3,10.4,259.4,Troposphere
