Name,Debrief Time(hhmmss),time,Depth(m),Speed(kts),Course(Degs),Range(yds),Bearing(Degs),Rel Brg(Degs),ATB(Degs),Brg Rate(Degs/min),Color,Name,PrimaryName
ALPHA,951212 050300,12/Dec/95 05:03:00,0,2,268.7,37733,160.1,R108.6,R20.2,0.159L,Red,120503,503
ALPHA,951212 050400,12/Dec/95 05:04:00,0,2,270.6,37724,159.5,R111.1,R20.1,0.157L,Red,504,504
ALPHA,951212 050500,12/Dec/95 05:05:00,0,2,269.4,37734,158.8,R110.6,R19.7,0.156L,Red,505,505
ALPHA,951212 050600,12/Dec/95 05:06:00,0,2,269,37744,158.1,R110.9,R22.3,0.164L,Red,506,506
ALPHA,951212 050700,12/Dec/95 05:07:00,0,2,270.5,37763,157.5,R113.0,R23.6,0.166L,Red,507,507
ALPHA,951212 050800,12/Dec/95 05:08:00,0,2,269.9,37795,156.8,R113.1,R22.0,0.161L,Red,508,508
ALPHA,951212 050900,12/Dec/95 05:09:00,0,2,268.6,37830,156.1,R112.5,R22.6,0.163L,Red,509,509
ALPHA,951212 051000,12/Dec/95 05:10:00,0,2,272.1,37863,155.4,R116.7,R25.5,0.168L,Red,510,510
ALPHA,951212 051110,12/Dec/95 05:11:10,0,2,245.8,38095,154.2,R91.6,R26.5,0.181L,Red,511,512
ALPHA,951212 051220,12/Dec/95 05:12:20,0,2,241.5,38019,153.5,R88.0,R25.6,0.179L,Red,512,513
ALPHA,951212 051330,12/Dec/95 05:13:30,0,2,242.3,37922,152.9,R89.4,R25.9,0.180L,Red,513,514
ALPHA,951212 051440,12/Dec/95 05:14:40,0,2,240.9,37835,152.2,R88.7,R27.8,0.186L,Red,514,515
ALPHA,951212 051550,12/Dec/95 05:15:50,0,2,239.9,37748,151.5,R88.4,R29.7,0.191L,Red,515,516
ALPHA,951212 051620,12/Dec/95 05:16:20,0,2,240.1,37663,150.8,R89.3,R28.9,0.190L,Yellow,516,517
ALPHA,951212 051700,12/Dec/95 05:17:00,0,2,240.1,37539,150.7,R89.4,R27.9,0.188L,Yellow,517,517
ALPHA,951212 051800,12/Dec/95 05:18:00,0,2,241,37460,149.9,R91.1,R30.1,0.194L,Yellow,518,518
ALPHA,951212 051900,12/Dec/95 05:19:00,0,2,239.9,37394,149.2,R90.7,R31.5,0.198L,Yellow,519,519
ALPHA,951212 052000,12/Dec/95 05:20:00,0,2,241.1,37327,148.5,R92.6,R31.5,0.198L,Yellow,520,520
ALPHA,951212 052100,12/Dec/95 05:21:00,0,2,240.3,37271,147.8,R92.5,R31.3,0.198L,Yellow,521,521
ALPHA,951212 052200,12/Dec/95 05:22:00,0,2,240.1,37218,147,R93.1,R32.7,0.202L,Yellow,522,522
ALPHA,951212 052300,12/Dec/95 05:23:00,0,2,240.3,37171,146.3,R94.0,R34.4,0.207L,Yellow,523,523
ALPHA,951212 052400,12/Dec/95 05:24:00,0,2,239.8,37130,145.6,R94.2,R33.6,0.205L,Yellow,524,524
ALPHA,951212 052500,12/Dec/95 05:25:00,0,2,239.8,37088,144.9,R94.9,R33.6,0.205L,Yellow,525,525
ALPHA,951212 052600,12/Dec/95 05:26:00,0,2,240.6,37053,144.1,R96.5,R41.5,0.225L,Yellow,526,526
