Time,Lat (Degs),Long (Degs),Elevation (m),Course (Degs),Speed (kts),Temperature (C),Turn rate (Degs/sec)
21/09/2015 07:00:10,56.3,-5.1,80,20,3.2,12.4,0
21/09/2015 07:00:41,56.3300701639,-5.0890553554,81,20,3.2,12.4,0
21/09/2015 07:01:12,56.3601403277,-5.0781107108,82,20,3.2,14.4,0
21/09/2015 07:01:43,56.3902104916,-5.0671660662,83,20,3.2,15.4,0
21/09/2015 07:02:14,56.4202806555,-5.0562214217,84,20,3.2,16.4,0
21/09/2015 07:02:45,56.4503508193,-5.0452767771,85,20,3.2,17.4,0
21/09/2015 07:03:16,56.4804209832,-5.0343321325,86,20,3.2,18.4,0
21/09/2015 07:03:47,56.5104911471,-5.0233874879,87,20,3.2,19.4,0
21/09/2015 07:04:18,56.5405613109,-5.0124428433,88,20,3.2,20.4,0
21/09/2015 07:04:49,56.5706314748,-5.0014981987,89,20,3.2,21.4,0
21/09/2015 07:05:20,56.6007016387,-4.9905535541,90,20,3.2,22.4,0
21/09/2015 07:05:51,56.6307718025,-4.9796089095,91,20,3.2,23.4,0
21/09/2015 07:06:22,56.6608419664,-4.968664265,92,20,3.2,24.4,0
21/09/2015 07:06:53,56.6909121302,-4.9577196204,93,20,3.2,25.4,0
21/09/2015 07:07:24,56.7209822941,-4.9467749758,94,20,3.2,26.4,0
21/09/2015 07:07:55,56.751052458,-4.9358303312,95,20,3.2,27.4,0
21/09/2015 07:08:26,56.7811226218,-4.9248856866,96,20,3.2,28.4,0
21/09/2015 07:08:57,56.8111927857,-4.913941042,97,20,3.2,29.4,0
21/09/2015 07:09:28,56.8412629496,-4.9029963974,98,20,3.2,30.4,0
21/09/2015 07:09:59,56.8713331134,-4.8920517529,99,20,3.2,31.4,0
21/09/2015 07:10:30,56.9014032773,-4.8811071083,100,20,3.2,32.4,0
21/09/2015 07:11:01,56.9314734412,-4.8701624637,101,20,3.2,33.4,0
21/09/2015 07:11:32,56.961543605,-4.8592178191,102,20,3.2,34.4,0
21/09/2015 07:12:03,56.9916137689,-4.8482731745,103,20,3.2,35.4,0
21/09/2015 07:12:34,57.0216839328,-4.8373285299,104,20,3.2,36.4,0
21/09/2015 07:13:05,57.0517540966,-4.8263838853,105,20,3.2,37.4,0
21/09/2015 07:13:36,57.0818242605,-4.8154392408,106,20,3.2,38.4,0
21/09/2015 07:14:07,57.1118944244,-4.8044945962,107,20,3.2,39.4,0
21/09/2015 07:14:38,57.1419645882,-4.7935499516,108,20,3.2,40.4,0
21/09/2015 07:15:09,57.1720347521,-4.782605307,109,20,3.2,41.4,0
21/09/2015 07:15:40,57.202104916,-4.7716606624,110,24,3.2,42.4,0.1290322581
21/09/2015 07:16:11,57.2313383706,-4.7586450898,111,32,3.2,43.4,0.2580645161
21/09/2015 07:16:42,57.2584759097,-4.7416876734,112,44,3.2,44.4,0.3870967742
21/09/2015 07:17:13,57.2814947833,-4.7194586055,113,56,3.2,45.4,0.3870967742
21/09/2015 07:17:44,57.2993889562,-4.6929294032,114,68,3.2,46.4,0.3870967742
21/09/2015 07:18:15,57.3113763672,-4.6632595199,115,80,3.2,47.4,0.3870967742
21/09/2015 07:18:46,57.3169331089,-4.6317456718,116,92,3.2,48.4,0.3870967742
21/09/2015 07:19:17,57.315816325,-4.5997651653,117,104,3.2,49.4,0.3870967742
21/09/2015 07:19:48,57.3080748243,-4.568715702,118,116,4.7,50.4,0.3870967742
21/09/2015 07:20:19,57.2874713804,-4.5264723819,119,128,4.7,51.4,0.3870967742
21/09/2015 07:20:50,57.2585352911,-4.4894358765,120,140,4.7,52.4,0.3870967742
21/09/2015 07:21:21,57.2225312023,-4.4592248588,121,152,4.7,53.4,0.3870967742
21/09/2015 07:21:52,57.1810326654,-4.4371596953,122,164,4.7,54.4,0.3870967742
21/09/2015 07:22:23,57.1358533657,-4.4242047396,123,176,4.7,55.4,0.3870967742
21/09/2015 07:22:54,57.0889678553,-4.4209261854,124,188,4.7,56.4,0.3870967742
21/09/2015 07:23:25,57.0424252561,-4.4274673211,125,200,4.7,57.4,0.3870967742
21/09/2015 07:23:56,56.9982597029,-4.4435422678,126,212,4.7,58.4,0.3870967742
21/09/2015 07:24:27,56.9584014424,-4.4684484733,127,224,4.7,59.4,0.3870967742
21/09/2015 07:24:58,56.9245924718,-4.5010974167,128,236,4.7,60.4,0.3870967742
21/09/2015 07:25:29,56.8983104053,-4.5400621826,129,248,4.7,61.4,0.3870967742
21/09/2015 07:26:00,56.8807038954,-4.5836398237,130,260,4.7,62.4,0.3870967742
21/09/2015 07:26:31,56.8725424311,-4.6299257881,131,272,4.7,63.4,0.3870967742
21/09/2015 07:27:02,56.8741827074,-4.676897157,132,279,4.7,64.4,0.2258064516
21/09/2015 07:27:33,56.8815351273,-4.723318509,133,282,4.7,65.4,0.0967741935
21/09/2015 07:28:04,56.8913069767,-4.7692914462,134,282,4.7,66.4,0
21/09/2015 07:28:35,56.9010788262,-4.8152643835,135,282,4.7,67.4,0
21/09/2015 07:29:06,56.9108506757,-4.8612373207,136,282,4.7,68.4,0
21/09/2015 07:29:37,56.9206225251,-4.907210258,137,282,4.7,69.4,0
21/09/2015 07:30:08,56.9303943746,-4.9531831952,138,282,4.7,70.4,0
21/09/2015 07:30:39,56.9401662241,-4.9991561324,139,282,4.7,71.4,0
21/09/2015 07:31:10,56.9499380736,-5.0451290697,140,282,4.7,72.4,0
21/09/2015 07:31:41,56.959709923,-5.0911020069,141,282,4.7,73.4,0
21/09/2015 07:32:12,56.9694817725,-5.1370749441,142,282,4.7,74.4,0
21/09/2015 07:32:43,56.979253622,-5.1830478814,143,282,4.7,75.4,0
21/09/2015 07:33:14,56.9890254714,-5.2290208186,144,282,4.7,76.4,0
21/09/2015 07:33:45,56.9987973209,-5.2749937558,145,282,4.7,77.4,0
21/09/2015 07:34:16,57.0085691704,-5.3209666931,146,282,4.7,78.4,0
21/09/2015 07:34:47,57.0183410198,-5.3669396303,147,282,4.7,79.4,0
21/09/2015 07:35:18,57.0281128693,-5.4129125675,148,282,4.7,80.4,0
