Time(s),Lap,GPS_Update,GPS_Delay,Accuracy (m),Lat,Long,Altitude (m),Speed (MPH),Heading (deg),dX(m),dY(m),dZ(m),X(m),Y(m),Z(m),OBD_Update,Engine Speed (RPM) *OBD,"Accelerator Pedal (%) *OBD"""
0.21,0,1,0,2.5,39.73556,-103.8917433,1530,10.4,210.8,0.05,-0.04,-0.03,0.05,-0.04,-0.03,1,1694.5,30.3
0.31,0,0,0,2.5,39.73556,-103.8917433,1530,10.4,210.8,0.01,-0.17,0,0.06,-0.21,-0.03,0,1694.5,30.3
0.32,0,1,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,0.01,-0.17,0,0.07,-0.38,-0.03,0,1694.5,30.3
0.35,0,0,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,0,-0.1,0,0.07,-0.48,-0.03,0,1694.5,30.3
0.38,0,0,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,-0.02,-0.17,0,0.05,-0.65,-0.03,0,1694.5,30.3
0.41,0,0,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,-0.03,-0.2,0.01,0.02,-0.85,-0.02,1,1827.75,34.34
0.44,0,0,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,-0.01,-0.16,0,0.01,-1.01,-0.02,0,1827.75,34.34
0.47,0,0,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,-0.08,-0.23,-0.04,-0.07,-1.24,-0.06,0,1827.75,34.34
0.48,0,1,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.08,-0.23,-0.04,-0.15,-1.47,-0.1,0,1827.75,34.34
0.51,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.05,-0.19,0,-0.2,-1.66,-0.1,0,1827.75,34.34
0.54,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.1,-0.18,-0.02,-0.3,-1.84,-0.12,0,1827.75,34.34
0.55,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.17,-0.28,-0.08,-0.47,-2.12,-0.2,0,1827.75,34.34
0.6,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.02,-0.25,0.07,-0.49,-2.37,-0.13,1,1970.25,35.35
0.62,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.13,-0.24,-0.04,-0.62,-2.61,-0.17,0,1970.25,35.35
0.65,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.2,-0.26,0.05,-0.82,-2.87,-0.12,0,1970.25,35.35
0.67,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.02,-0.22,0.06,-0.84,-3.09,-0.06,0,1970.25,35.35
0.7,0,1,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.06,-0.24,0.04,-0.9,-3.33,-0.02,0,1970.25,35.35
0.73,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.18,-0.25,-0.13,-1.08,-3.58,-0.15,0,1970.25,35.35
0.75,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.14,-0.28,-0.03,-1.22,-3.86,-0.18,0,1970.25,35.35
0.78,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.16,-0.26,-0.05,-1.38,-4.12,-0.23,1,2049.5,34.34
0.81,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.11,-0.34,-0.08,-1.49,-4.46,-0.31,0,2049.5,34.34
0.83,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.14,-0.32,-0.03,-1.63,-4.78,-0.34,0,2049.5,34.34
0.85,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.09,-0.22,0.04,-1.72,-5,-0.3,0,2049.5,34.34
0.87,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.06,-0.29,0.06,-1.78,-5.29,-0.24,0,2049.5,34.34
0.9,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.12,-0.29,0.05,-1.9,-5.58,-0.19,0,2049.5,34.34
0.91,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.15,-0.31,-0.03,-2.05,-5.89,-0.22,0,2049.5,34.34
0.94,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.13,-0.33,0.04,-2.18,-6.22,-0.18,0,2049.5,34.34
0.95,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.15,-0.34,-0.04,-2.33,-6.56,-0.22,0,2049.5,34.34
1,0,1,0.1,2.5,39.7355083,-103.89184,1531,12,230.2,-0.16,-0.31,0.02,-2.49,-6.87,-0.2,0,2049.5,34.34
1.02,0,0,0.1,2.5,39.7355083,-103.89184,1531,12,230.2,-0.18,-0.31,0,-2.67,-7.18,-0.2,1,2158.75,33.33
1.04,0,0,0.1,2.5,39.7355083,-103.89184,1531,12,230.2,-0.16,-0.28,0,-2.83,-7.46,-0.2,0,2158.75,33.33
1.08,0,0,0.1,2.5,39.7355083,-103.89184,1531,12,230.2,-0.17,-0.31,0.01,-3,-7.77,-0.19,0,2158.75,33.33
1.1,0,1,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.2,-0.36,-0.01,-3.2,-8.13,-0.2,0,2158.75,33.33
1.12,0,0,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.18,-0.32,-0.01,-3.38,-8.45,-0.21,0,2158.75,33.33
1.15,0,0,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.18,-0.29,0.01,-3.56,-8.74,-0.2,0,2158.75,33.33
1.2,0,0,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.25,-0.28,-0.05,-3.81,-9.02,-0.25,0,2158.75,33.33
1.22,0,0,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.19,-0.26,-0.01,-4,-9.28,-0.26,1,2272.5,33.33
1.25,0,0,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.18,-0.3,0.07,-4.18,-9.58,-0.19,0,2272.5,33.33
1.27,0,1,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.24,-0.3,-0.09,-4.42,-9.88,-0.28,0,2272.5,33.33
1.3,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.17,-0.27,0.01,-4.59,-10.15,-0.27,0,2272.5,33.33
1.32,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.19,-0.21,0,-4.78,-10.36,-0.27,0,2272.5,33.33
1.35,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.21,-0.22,-0.04,-4.99,-10.58,-0.31,0,2272.5,33.33
1.37,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.19,-0.19,-0.01,-5.18,-10.77,-0.32,1,2350,28.28
1.4,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.19,-0.16,0,-5.37,-10.93,-0.32,0,2350,28.28
1.42,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.2,-0.12,0,-5.57,-11.05,-0.32,0,2350,28.28
1.45,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.15,-0.09,0.02,-5.72,-11.14,-0.3,0,2350,28.28
1.47,0,1,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.16,-0.04,0,-5.88,-11.18,-0.3,0,2350,28.28
1.48,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.11,-0.08,0.02,-5.99,-11.26,-0.28,0,2350,28.28
1.51,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.12,-0.11,-0.03,-6.11,-11.37,-0.31,0,2350,28.28
1.53,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.1,-0.1,-0.01,-6.21,-11.47,-0.32,1,2411.75,0
1.55,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.13,-0.05,-0.05,-6.34,-11.52,-0.37,0,2411.75,0
1.61,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.08,-0.01,0.04,-6.42,-11.53,-0.33,0,2411.75,0
1.65,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,0.02,0.01,0.01,-6.4,-11.52,-0.32,0,2411.75,0
1.67,0,1,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.02,0.01,0.01,-6.38,-11.51,-0.31,0,2411.75,0
1.7,0,0,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.03,-0.04,-0.01,-6.35,-11.55,-0.32,1,2399.75,0
1.77,0,0,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.1,0.02,0,-6.25,-11.53,-0.32,0,2399.75,0
1.82,0,0,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.14,-0.04,0.02,-6.11,-11.57,-0.3,0,2399.75,0
