Date,Time,CWD_Crse,Nel_Crse,CWD_Spd,Nel_Spd,Range,Bearing,Bearing Rate,Relative Bearing,ATB
12/Dec/1995,05:03:00,0.3,269.7,4.5001530538,9.8245738799,34502.7598372977,160.1400860328,-0.6675766113,-108.7703266507,-20.3324634671
12/Dec/1995,05:03:00,0,269.7,4.4102440203,10.9543440747,34495.0985063137,159.4722496434,-0.659687,-111.0457329598,-19.9250224465
12/Dec/1995,05:03:00,360,269.9,4.3825151871,11.5374767404,34504.3948872227,158.8126284964,-0.666316071,-110.5834886159,-19.2461198661
12/Dec/1995,05:04:00,359.6,268.7,4.340158688,12.0952432269,34512.9907018998,158.1463594855,-0.685144319,-111.0317140543,-22.3435977485
12/Dec/1995,05:05:00,358.5,270.6,4.3314312557,12.1676318075,34530.6786617015,157.4614624557,-0.6730573494,-113.0023732667,-24.0115027511
12/Dec/1995,05:05:00,360,269.4,4.3216835477,12.3344929865,34560.05284739,156.7888927874,-0.6730723818,-113.2566720365,-21.6117776771
12/Dec/1995,05:05:00,0,269,4.3122464246,12.5480740003,34591.8061923054,156.1163381582,-0.6772421312,-112.7926484528,-22.0341776336
12/Dec/1995,05:06:00,0.4,270.5,3.6781832859,12.3527366653,34621.6979062761,155.4395835172,-0.6507309654,-116.1785931881,-25.9232328996
12/Dec/1995,05:07:00,1.1,269.9,3.6261416209,12.5745653576,34690.7309628675,154.790062476,-0.6565807405,-114.4694905127,-26.1586007285
12/Dec/1995,05:07:00,0,268.6,3.6610452659,12.6046281831,34750.7499224294,154.1344654036,-0.6528525479,-97.3958824196,-25.1388778571
12/Dec/1995,05:07:00,360,272.1,3.6357558489,12.3943132571,34696.4344525321,153.4802509773,-0.6578001675,-94.5602098653,-25.0018619085
12/Dec/1995,05:08:00,358.8,269.1,3.66,12.3811424179,34624.7878496432,152.8209063714,-0.6720177848,-95.8936238489,-26.247995587
12/Dec/1995,05:09:00,358.7,245.8,8.5034221324,11.3635533659,34563.0830394152,152.1481113632,-0.7280185915,-95.4364788114,-28.31633513
12/Dec/1995,05:09:00,360,241.5,6.3450610461,11.3918441207,34479.3495915126,151.4321466803,-0.7986281008,-95.2408554311,-29.5677842151
12/Dec/1995,05:09:00,0,242.3,4.172321495,11.5973187769,34325.2878991277,150.6510866381,-0.7049038128,-96.2355468472,-27.4375081623
12/Dec/1995,05:10:00,0.9,240.9,4.2,11.879816499,34253.3828547547,149.9446539612,-0.71906771,-97.7253293841,-30.0553460388
12/Dec/1995,05:11:00,0.7,239.9,4.2704938226,11.7683236555,34193.5107826865,149.2242951147,-0.7213986013,-97.4581038013,-31.6470461112
12/Dec/1995,05:11:00,0,240.1,4.29,11.8200993875,34131.4433109985,148.5015696959,-0.7307349936,-99.2315954419,-31.4984303041
12/Dec/1995,05:11:00,360,241,4.2110220653,11.9229096232,34080.9448665854,147.7697384168,-0.7197401601,-99.3389107303,-30.9678761471
12/Dec/1995,05:12:00,359.1,239.9,4.1900924336,11.7980647955,34031.7170944894,147.0489450857,-0.730687049,-99.8354803762,-32.5704787006
12/Dec/1995,05:13:00,358.8,241.1,4.2904914882,12.0077943473,33988.7906457135,146.317332327,-0.733239763,-100.8090964661,-34.5499186213
12/Dec/1995,05:14:00,360,240.3,4.3106389434,11.8513601742,33951.3247481091,145.5833009509,-0.7304281122,-101.011108703,-33.4301848088
12/Dec/1995,05:14:00,0,240.1,4.2425973216,11.9718645575,33913.1211835199,144.8520675665,-0.7305757591,-101.795713767,-33.1429676622
12/Dec/1995,05:14:00,0,240.3,4.2466363583,11.8600770014,33881.7049700689,144.1208313724,-0.7529117419,-103.1598536365,-43.4107117047
12/Dec/1995,05:15:00,1.2,239.8,4.2957891213,11.8568885928,33872.5464112269,143.367784833,-0.8044091401,-103.8091720004,-62.3579418896
12/Dec/1995,05:16:00,0,239.8,4.5129876867,11.9329213746,33902.4598386015,142.5642212788,-0.8274355018,-104.726900447,-80.632559737
12/Dec/1995,05:16:00,360,240.6,4.8061661943,11.8068334506,33975.9348336799,141.7387637648,-0.8463090835,-104.7587522633,-87.939023568
12/Dec/1995,05:16:00,359.7,240.5,4.7951694031,11.9364872901,34067.5003011388,140.894944526,-0.8426940082,-106.5212396259,-87.0824549174
12/Dec/1995,05:17:00,358.6,240.5,4.7949750627,11.7860689227,34168.4606801413,140.0549571721,-0.8346790068,-107.1001231854,-87.7592916143
12/Dec/1995,05:17:00,360,239.7,4.9209757359,11.8358381395,34273.9649963112,139.2230682433,-0.8357216016,-107.7906967526,-90.2144012253
12/Dec/1995,05:17:00,0,240.7,4.7996318695,11.9260108882,34389.8802647819,138.3903962255,-0.8277645819,-108.8762196928,-91.3777015364
12/Dec/1995,05:18:00,0,240.4,4.8632339714,11.8483960431,34516.2894692858,137.5658888993,-0.8244196092,-109.2341825934,-90.4996899699
12/Dec/1995,05:19:00,0.7,240.3,4.8013926643,11.830683832,34642.102564145,136.7446965871,-0.8150013091,-110.099909741,-90.3293672419
12/Dec/1995,05:20:00,0,240.5,4.8190103841,11.9292987013,34772.5692336763,135.9329849125,-0.8041567139,-111.2077627678,-93.562275544
12/Dec/1995,05:20:00,0,240,4.926891719,11.8799587223,34917.0134957104,135.1323909432,-0.8058335922,-111.8998179941,-94.0573548868
12/Dec/1995,05:20:00,360,240.1,4.8897949832,11.8761155342,35067.6650560268,134.3302640725,-0.8041139035,-112.4782984603,-93.066308953
12/Dec/1995,05:21:00,359.1,240.4,4.9451244519,11.7898809863,35220.4744983835,133.5298824884,-0.7968848587,-112.934503587,-94.764637769
12/Dec/1995,05:22:00,359.7,240.2,4.9278834253,11.8396692554,35379.4688563919,132.7368282588,-0.795815419,-114.5909863541,-96.7693529208
12/Dec/1995,05:22:00,360,240,4.9349234714,11.9602479275,35556.5686605148,131.9452242784,-0.7783611394,-114.8300464408,-97.6307152442
12/Dec/1995,05:22:00,0,239.6,4.8702561587,11.8702084874,35733.7118409037,131.1709733889,-0.7687420754,-115.4356940601,-97.1265406822
12/Dec/1995,05:23:00,0.7,240.6,4.7062322346,12.115452908,35912.6475178977,130.4063113573,-0.754185052,-117.1077334578,-97.2501065579
12/Dec/1995,05:23:00,0,240,4.7511366463,11.84261509,36102.2953073434,129.6563291852,-0.7477420671,-117.2868776752,-99.9326834163
12/Dec/1995,05:23:00,360,239.8,4.8765893857,11.8375657345,36299.1815119681,128.9128862904,-0.7462044203,-118.2697307652,-97.3732957993
12/Dec/1995,05:24:00,359.2,240.9,5.0127386985,11.9490572142,36495.5034235905,128.1709511861,-0.7432325822,-118.9618866488,-84.9136625439
12/Dec/1995,05:25:00,358.5,240.2,4.9516846462,11.8985802024,36661.5348897531,127.4313520364,-0.702703649,-119.9357193711,-61.6218363605
12/Dec/1995,05:25:00,360,240.4,5.0787747906,11.8877164494,36773.1254439037,126.7310125399,-0.6321814419,-120.2210200406,-33.8548819345
12/Dec/1995,05:25:00,0,240.4,5.2084854583,11.8117552445,36830.7131403273,126.0999601693,-0.5701774569,-115.8304820318,-19.1589931847
12/Dec/1995,05:26:00,5.6,240.7,5.1535428721,11.7715588071,36832.6867799944,125.5298894936,-0.4269446788,-65.9820061682,-15.5575521229
12/Dec/1995,05:27:00,19.7,240.2,4.9906276529,11.92843059,36577.438725973,125.1000356617,-0.4175231525,-56.6869879066,-16.6643497597
12/Dec/1995,05:28:00,34.7,234.3,4.9009700115,11.2848317311,36284.9807112294,124.6792253036,-0.4364035232,-56.5728888712,-18.0479525106
12/Dec/1995,05:29:00,41.1,188.6,4.7854291834,8.2152640765,35991.01121905,124.2393442942,-0.4401919128,-56.1148792897,-18.1322901303
12/Dec/1995,05:30:00,39.3,181.3,4.9182633105,8.6141895224,35697.1677567543,123.7956183459,-0.4578239759,-57.4692626435,-17.1635178096
12/Dec/1995,05:31:00,39.2,180.9,4.7494859855,8.9021256367,35400.2076796025,123.3340450436,-0.4609142657,-56.3796731022,-18.4188436826
12/Dec/1995,05:32:00,40.8,180.3,4.6949611218,8.9901718092,35104.0205436214,122.8693408359,-0.4787071106,-57.9857740133,-19.9371793739
12/Dec/1995,05:33:00,41.1,180.9,4.6687980827,9.2322496449,34816.8445049869,122.3867951353,-0.4772028566,-57.5556977996,-20.0325105034
12/Dec/1995,05:34:00,39.4,179.8,4.7957327469,9.2701157169,34530.0052713207,121.9057428198,-0.4922418544,-58.8864456826,-19.1515429827
12/Dec/1995,05:35:00,38.5,180.6,4.7065468478,9.3110369639,34242.0145498711,121.4094793126,-0.4968265461,-59.2761411994,-20.2201248064
12/Dec/1995,05:36:00,40.8,179.9,4.684626222,9.2300046491,33960.659088324,120.9086633338,-0.5048554552,-58.7492443143,-21.6604262753
12/Dec/1995,05:37:00,40.6,180.6,4.7374230726,9.3808966423,33678.6916519306,120.3997190463,-0.5115320745,-60.1698215783,-20.3765606651
12/Dec/1995,05:38:00,38.8,180.5,4.657876638,9.290665172,33400.0420935416,119.8840581985,-0.5147830419,-59.8861425802,-21.7090617058
12/Dec/1995,05:39:00,39.6,179.8,4.6454158773,9.3101659463,33124.906348501,119.365147633,-0.5393028692,-61.6009737347,-23.8404073844
12/Dec/1995,05:40:00,40.9,180.4,4.6636053539,9.320460477,32858.2745246945,118.8216323632,-0.545256378,-61.8103163759,-25.1170456095
12/Dec/1995,05:41:00,40.9,179.8,4.6986319283,9.2400743185,32594.8701961703,118.2721447869,-0.5500560626,-62.3530498782,-23.2829778801
12/Dec/1995,05:42:00,39.6,180.7,4.6965211054,9.3413279644,32329.5601078325,117.7177489549,-0.4037043836,-37.1098568096,-23.0910701978
12/Dec/1995,05:43:00,39.1,180.4,4.8194207072,9.2405620597,31971.3745749615,117.3096819673,-0.3459813804,-25.7327262546,-24.5408106291
12/Dec/1995,05:44:00,41,180.5,4.7795783221,9.3405560626,31564.5930822952,116.9594050805,-0.3521253804,-24.8374709252,-25.5033060079
12/Dec/1995,05:45:00,37.8,160.8,4.7392150146,9.1709455014,31150.4968538617,116.6027687079,-0.3604584101,-25.9393646825,-24.3384488571
