Time(dd/MMM/yy HH:mm:ss),Depth(m),Speed(kts),SecondarySpeed(kts),Course(Degs),Secondary Course(Degs),Range(yds),Bearing(Degs),Rel Brg (Degs),ATB(Degs),Brg Rate(Degs/sec)
12/Dec/95 05:03:00,0,4.5,12.1,0.5,268.9,37733,340.1,-20.3,-108.8,-0.0111333333
12/Dec/95 05:04:00,0,4.41,12.17,359.4,270.5,37724,339.5,-19.9,-111,-0.011
12/Dec/95 05:05:00,0,4.38,12.33,358.1,269.4,37734,338.8,-19.2,-110.6,-0.0111
12/Dec/95 05:06:00,0,4.34,12.55,0.5,269.2,37744,338.1,-22.3,-111,-0.0114166667
12/Dec/95 05:07:00,0,4.33,12.35,1.5,270.5,37763,337.5,-24,-113,-0.0112166667
12/Dec/95 05:08:00,0,4.32,12.57,358.4,270,37795,336.8,-21.6,-113.3,-0.0112166667
12/Dec/95 05:09:00,0,4.31,12.6,358.2,268.9,37830,336.1,-22,-112.8,-0.0112833333
12/Dec/95 05:10:00,0,3.68,12.39,1.4,271.6,37863,335.4,-25.9,-116.2,-0.01085
12/Dec/95 05:11:00,0,3.63,12.38,0.9,269.3,37920,334.8,-26.1,-114.5,-0.01095
12/Dec/95 05:12:00,0,3.66,11.36,358.6,251.5,37967,334.1,-24.5,-97.4,-0.0108666667
12/Dec/95 05:13:00,0,3.64,11.39,358.4,248,37889,333.4,-24.9,-94.6,-0.0109666667
12/Dec/95 05:14:00,0,3.66,11.6,0,248.7,37792,332.8,-27.2,-95.9,-0.0112666667
12/Dec/95 05:15:00,0,8.5,11.88,1.6,247.6,37708,332.1,-29.6,-95.5,-0.0137
12/Dec/95 05:16:00,0,6.35,11.77,359.7,246.7,37624,331.4,-28.4,-95.3,-0.0126333333
12/Dec/95 05:17:00,0,4.17,11.82,358.1,246.9,37539,330.7,-27.4,-96.2,-0.01175
12/Dec/95 05:18:00,0,4.2,11.92,0,247.7,37460,329.9,-30.1,-97.7,-0.0119833333
12/Dec/95 05:19:00,0,4.27,11.8,0.9,246.7,37394,329.2,-31.6,-97.5,-0.0120166667
12/Dec/95 05:20:00,0,4.29,12.01,0,247.7,37327,328.5,-31.5,-99.2,-0.0121833333
12/Dec/95 05:21:00,0,4.21,11.85,358.7,247.1,37271,327.8,-31,-99.3,-0.012
12/Dec/95 05:22:00,0,4.19,11.97,359.6,246.9,37218,327,-32.6,-99.8,-0.0121833333
12/Dec/95 05:23:00,0,4.29,11.86,0.9,247.1,37171,326.3,-34.5,-100.8,-0.0122166667
12/Dec/95 05:24:00,0,4.31,11.86,359,246.6,37130,325.6,-33.4,-101,-0.0121666667
